Date,LTP,Open,High,Low,Quantity,Score
1/20/2011,305.380371,305.045044,306.031036,303.368378,2987200,-0.063292
1/21/2011,305.795807,305.380371,306.026031,303.608612,3098400,-0.018493548
1/22/2011,307.452454,305.385376,309.504517,304.909912,3595600,0.08825
1/23/2011,309.499512,307.772766,310.125122,307.562561,3386400,0.129457143
1/24/2011,308.558563,308.743744,310.035034,306.476471,3681300,-0.044947368
1/25/2011,308.528534,307.257263,309.059052,306.08609,4664100,0.047214286
1/26/2011,312.562561,307.202209,312.812805,306.806793,5174600,0.015527586
1/27/2011,314.389404,311.981995,315.135132,310.330322,4251700,0.0539
1/28/2011,312.38739,313.973969,315.360352,311.861847,4179800,-0.079625
1/29/2011,312.422424,313.128143,313.563568,311.361359,3364600,-0.0608
1/31/2011,312.942932,310.935944,313.938934,310.450439,2954600,-0.09308125
2/01/2011,315.355347,313.313324,315.905914,312.402405,6429300,0.1069
2/02/2011,305.4104,310.325317,312.777771,304.189178,7272500,-0.009825
2/03/2011,305.965973,305.470459,307.657654,302.302307,5773400,0.093885714
2/04/2011,304.714722,306.001007,306.851837,300.975983,5417900,0
2/05/2011,305.325317,306.236237,307.667664,305.055054,3860900,0.098666667
2/06/2011,307.007019,305.305298,308.553558,304.309296,4558400,0.254533333
2/07/2011,300.680695,309.199188,309.919922,299.949951,6639700,0.047533333
2/08/2011,300.695709,300.200195,303.303314,297.892883,4049300,0.059115
2/09/2011,305.085083,303.4935,306.051056,302.802795,3886700,-0.174227273
2/10/2011,300.610596,304.469482,304.7948,300.400391,6015900,0.198048387
2/11/2011,296.126129,300.575562,302.147156,293.793793,6918400,0.020975
2/12/2011,296.451447,296.761749,299.289276,295.395386,4565200,-0.20585
2/13/2011,296.181183,295.795807,297.552551,293.168182,4297600,0.06665
2/14/2011,290.44043,293.013,293.603607,290.015015,6249900,0.039962857
2/15/2011,288.643646,289.399414,290.290283,286.951965,6057900,0.131953846
2/16/2011,285.280273,286.686676,289.434448,284.294281,5626500,0.016507692
2/17/2011,285.065063,279.029022,285.785797,278.028015,8003100,-0.1224125
2/18/2011,278.828827,284.289276,285.180176,275.915924,7589400,0.069078947
2/19/2011,280.960968,282.522522,284.78479,280.550537,5792800,0.4404
2/20/2011,280.810822,282.6026,284.279266,280.150146,6590600,0
2/21/2011,288.538544,285.395386,290.190186,284.7948,6035700,0.4117
2/22/2011,288.948944,288.92392,289.904907,286.541534,3770000,0.011494118
2/23/2011,291.371368,287.882874,291.51651,286.286285,3628700,-0.0394125
2/24/2011,293.738739,293.007996,294.489502,289.689697,4193200,-0.1967
2/25/2011,290.160156,293.733734,293.748749,289.909912,5711000,-0.11439
2/26/2011,287.967957,291.326324,292.787781,287.642639,4432300,-0.5994
2/27/2011,291.156158,288.2883,291.236237,286.791779,3206300,-0.02555
2/28/2011,291.211212,292.482483,293.04303,290.580566,2841700,-0.0888
3/01/2011,293.673676,291.791779,294.374359,291.161163,4054700,0.090744444
3/02/2011,296.196198,294.674683,297.892883,294.674683,5221100,-0.00245
3/03/2011,294.134125,296.796783,297.667664,291.841827,4104800,0.109614286
3/04/2011,284.829834,290.830841,291.036041,283.123108,12082900,0.154281818
3/06/2011,287.37738,286.376373,287.867859,284.284271,5331200,-0.1779
3/07/2011,290.290283,288.153168,290.610596,287.382385,5057900,0.060158824
3/08/2011,289.369354,292.737732,292.737732,289.319305,3799700,-0.034233333
3/09/2011,288.973969,288.388397,289.339325,286.786774,3712600,-0.07636
3/10/2011,285.590576,287.787781,288.743744,284.309296,4167000,0.018673333
3/11/2011,288.428436,288.04303,289.089081,286.161163,4134600,-0.19765
3/13/2011,289.544556,287.882874,290.015015,286.336334,10901600,0.0082
3/14/2011,265.615601,272.917908,273.148163,265.295288,28059300,-0.049333333
3/15/2011,263.683685,263.47348,264.094086,259.759766,10069500,-0.003646154
3/16/2011,261.026031,265.240234,265.705719,260.710724,5362800,-0.141309091
3/17/2011,263.128143,263.213226,263.673676,260.955963,6113800,0.281807143
3/18/2011,262.812805,264.009003,264.404419,261.456451,4935200,0.194055556
3/19/2011,262.787781,262.887878,263.763763,261.266266,3258300,-0.3818
3/20/2011,266.676666,263.523529,268.988983,262.867859,6993000,-0.2787
3/21/2011,269.149139,269.269257,269.32431,267.442444,4592200,-0.023163636
3/22/2011,269.254242,269.299286,269.894897,267.307312,3996000,0.162984211
3/23/2011,272.322327,270.270264,272.322327,269.524536,8448500,0.281716667
3/24/2011,269.549561,273.123108,273.138153,268.828827,4263100,0.02645625
3/25/2011,267.212219,268.833832,271.276276,265.080078,4158800,0.1847
3/26/2011,268.163177,267.852844,269.769775,266.776764,4229700,0
